customer_id,age,region,monthly_income_tzs,loan_amount_tzs,mobile_money_tx_30d,previous_defaults,days_late_avg,is_default
TZ-LOAN-10000,56.0,Dar es Salaam,394283.97017776896,50000,19,2,4.578967052971937,0
TZ-LOAN-10001,69.0,Mbeya,792609.683207603,50000,29,0,1.92035688194141,0
TZ-LOAN-10002,46.0,Dodoma,839736.2649926902,100000,21,0,8.925103572737411,0
TZ-LOAN-10003,32.0,Dodoma,507746.5474688106,1000000,18,0,4.581535006641057,0
TZ-LOAN-10004,60.0,Mwanza,418468.4127821375,250000,24,0,6.156569283527365,0
TZ-LOAN-10005,25.0,Dar es Salaam,1132856.1997327919,1000000,29,0,0.6075916604541042,0
TZ-LOAN-10006,38.0,Dar es Salaam,718248.7627196161,500000,29,0,1.5452937694426996,0
TZ-LOAN-10007,56.0,Dodoma,840790.3252135214,1000000,22,0,28.523327780344108,0
TZ-LOAN-10008,36.0,Arusha,403377.19645162177,1000000,22,0,2.842734923471289,1
TZ-LOAN-10009,40.0,Dodoma,284214.66004334186,500000,22,0,2.2225777803157714,0
TZ-LOAN-10010,28.0,Dodoma,479165.0676523669,500000,23,0,10.351630428952351,0
TZ-LOAN-10011,28.0,Arusha,612793.5837830009,250000,26,2,0.16816970741414888,0
TZ-LOAN-10012,41.0,Mwanza,330733.99795479537,50000,20,1,3.826152989439358,0
TZ-LOAN-10013,53.0,Mbeya,647046.5574048851,100000,21,0,1.1802398680341906,0
TZ-LOAN-10014,57.0,Mwanza,143448.44357945002,500000,18,0,2.2955383634649005,1
TZ-LOAN-10015,41.0,Arusha,313985.77325903834,50000,27,0,1.1143246498532573,0
TZ-LOAN-10016,20.0,Arusha,851273.3744830625,250000,18,0,0.1927830182673797,0
TZ-LOAN-10017,39.0,Mwanza,831137.1560833682,1500000,17,0,2.69365811309616,0
TZ-LOAN-10018,19.0,Mbeya,532436.97038394,1000000,33,0,7.784298972313257,0
TZ-LOAN-10019,41.0,Mwanza,344670.7072769141,250000,28,0,15.178026990603277,0
TZ-LOAN-10020,61.0,Dar es Salaam,341778.93454219674,250000,32,0,4.8888759352460625,0
TZ-LOAN-10021,47.0,Dar es Salaam,538019.5262176058,500000,19,0,2.461958653606369,0
TZ-LOAN-10022,55.0,Dar es Salaam,843355.5474935875,100000,21,0,7.345234612521674,0
TZ-LOAN-10023,19.0,Mbeya,928473.7074032973,500000,18,0,3.5182505529747363,0
TZ-LOAN-10024,38.0,Mbeya,501040.4793554093,1000000,27,0,2.2913262114965747,0
TZ-LOAN-10025,50.0,Arusha,303952.2722045648,500000,28,0,0.9867071171533831,0
TZ-LOAN-10026,29.0,Dodoma,730353.0913599,1000000,34,0,7.951363331725014,0
TZ-LOAN-10027,39.0,Mbeya,402939.50881224516,500000,29,0,3.4699956219754586,0
TZ-LOAN-10028,61.0,Dodoma,494524.20834163926,1500000,21,0,16.59399758312922,1
TZ-LOAN-10029,42.0,Dar es Salaam,1047582.8271311112,100000,25,2,8.095158942929153,0
TZ-LOAN-10030,66.0,Dar es Salaam,898134.6285697304,1500000,22,0,2.7237748372624093,0
TZ-LOAN-10031,44.0,Dodoma,697392.2936754355,50000,18,0,6.751741960222565,0
TZ-LOAN-10032,59.0,Mwanza,268424.2996661831,100000,24,0,3.0201122092764847,0
TZ-LOAN-10033,45.0,Arusha,713418.9702411976,500000,31,0,0.41617836106266937,0
TZ-LOAN-10034,33.0,Arusha,968797.187236258,250000,25,0,3.6353924726155484,0
TZ-LOAN-10035,32.0,Mwanza,537309.9002703393,50000,20,0,10.039461498412008,0
TZ-LOAN-10036,64.0,Dodoma,1055334.2269960146,250000,30,3,9.670348768188848,1
TZ-LOAN-10037,68.0,Dodoma,1037823.586855462,1500000,30,3,4.277941314145056,1
TZ-LOAN-10038,61.0,Mbeya,1149119.849643042,100000,20,0,2.3903688181150433,0
TZ-LOAN-10039,69.0,Dar es Salaam,741572.9379594058,50000,24,0,0.05075979756167797,0
TZ-LOAN-10040,20.0,Dar es Salaam,826217.5099418036,1500000,17,0,1.8655446468433292,0
TZ-LOAN-10041,54.0,Dodoma,1074256.186499327,500000,24,2,22.93104412490073,1
TZ-LOAN-10042,68.0,Mbeya,784218.1811206928,250000,25,0,6.482104363113815,0
TZ-LOAN-10043,24.0,Mbeya,499629.7676629362,500000,35,0,6.32195138906416,0
TZ-LOAN-10044,38.0,Arusha,515437.1490416416,1000000,31,0,7.1582035072856245,0
TZ-LOAN-10045,26.0,Arusha,721566.4861321218,50000,24,0,4.839412240003433,0
TZ-LOAN-10046,56.0,Dodoma,262831.5734161344,250000,17,0,4.407739778166825,0
TZ-LOAN-10047,35.0,Arusha,607022.3253907422,100000,22,0,3.022196058804449,0
TZ-LOAN-10048,21.0,Mbeya,978964.1354690761,100000,30,0,2.9343413767818256,0
TZ-LOAN-10049,42.0,Mwanza,-7376.155349584296,100000,19,0,10.23384400031544,0
TZ-LOAN-10050,31.0,Dar es Salaam,1110344.6305383546,1500000,24,1,2.499892186409935,0
TZ-LOAN-10051,67.0,Dodoma,986712.2656109479,100000,25,0,9.172033895232056,0
TZ-LOAN-10052,26.0,Arusha,512070.6152508571,250000,28,0,9.09260469009851,0
TZ-LOAN-10053,43.0,Arusha,813017.2483615428,1500000,21,0,7.36794414924127,0
TZ-LOAN-10054,19.0,Mbeya,650944.318071898,1000000,24,1,0.19184585837821677,0
TZ-LOAN-10055,37.0,Arusha,1018997.1105316048,100000,19,0,0.8006808784619168,0
TZ-LOAN-10056,150.0,Dar es Salaam,944804.9428309824,100000,22,0,1.8895304198695497,0
TZ-LOAN-10057,64.0,Dodoma,229978.78304509725,1500000,27,0,9.404046723032426,1
TZ-LOAN-10058,24.0,Arusha,826178.7240392531,100000,14,1,10.32806326947185,0
TZ-LOAN-10059,61.0,Mwanza,588311.6439070257,1000000,31,0,0.2122274665090333,0
TZ-LOAN-10060,25.0,Mwanza,674849.77115543,1500000,21,0,1.9631730095409212,0
TZ-LOAN-10061,64.0,Dodoma,431548.42970905534,1500000,28,0,9.498423175226197,1
TZ-LOAN-10062,52.0,Mwanza,1174441.1207362507,50000,26,0,1.4363657739182945,0
TZ-LOAN-10063,31.0,Mwanza,962018.5459707729,1500000,28,2,18.64919616503258,1
TZ-LOAN-10064,34.0,Arusha,428068.6508081098,100000,30,0,3.3599016033796953,0
TZ-LOAN-10065,150.0,Mwanza,249616.8179269302,1500000,23,0,13.847981172875873,1
TZ-LOAN-10066,67.0,Arusha,534298.2107066455,100000,27,1,2.800310388235365,0
TZ-LOAN-10067,57.0,Dar es Salaam,780350.7938273917,100000,24,0,1.956324010152827,0
TZ-LOAN-10068,21.0,Mbeya,722061.7531838669,1500000,23,0,2.250300551210432,0
TZ-LOAN-10069,19.0,Arusha,1025939.847430473,50000,19,0,10.783798398162297,0
TZ-LOAN-10070,23.0,Mbeya,886975.9166542557,100000,23,0,2.0075351553629672,0
TZ-LOAN-10071,59.0,Arusha,940870.707725872,50000,20,0,5.533417186568027,0
TZ-LOAN-10072,21.0,Arusha,748056.6201831312,50000,22,0,3.1729074515005777,0
TZ-LOAN-10073,46.0,Dodoma,233210.38093670295,1500000,14,0,14.208295588816576,1
TZ-LOAN-10074,35.0,Arusha,591290.4406559296,500000,26,0,0.8679795138232166,0
TZ-LOAN-10075,43.0,Mwanza,968026.9219725996,500000,21,0,2.7988262589140547,0
TZ-LOAN-10076,61.0,Mwanza,634543.1214426062,100000,18,0,0.6655648974468098,0
TZ-LOAN-10077,51.0,Arusha,800927.110587124,250000,25,0,4.315401068453485,0
TZ-LOAN-10078,27.0,Dar es Salaam,554375.5054261601,500000,22,0,2.578346605571885,0
TZ-LOAN-10079,53.0,Mwanza,341056.44543744647,1500000,21,0,0.3143647847169344,1
TZ-LOAN-10080,31.0,Mbeya,612996.7807861669,1500000,27,0,9.480206493277352,1
TZ-LOAN-10081,48.0,Dar es Salaam,742714.2329097962,500000,27,0,2.3541381061010034,0
TZ-LOAN-10082,65.0,Mbeya,453293.6841615669,250000,16,1,3.4024455743663475,0
TZ-LOAN-10083,32.0,Arusha,579286.6265429994,1000000,27,0,2.6171345668571018,0
TZ-LOAN-10084,25.0,Arusha,368161.02740420523,100000,17,0,3.353531148706126,0
TZ-LOAN-10085,31.0,Arusha,985773.4752692288,1000000,41,1,0.08229960993645874,0
TZ-LOAN-10086,40.0,Mwanza,561663.2727235898,1000000,32,1,8.449432431058366,1
TZ-LOAN-10087,57.0,Dar es Salaam,1085826.6635378548,50000,35,0,2.0196415375528773,0
TZ-LOAN-10088,38.0,Mbeya,1108624.3551622725,50000,30,0,,0
TZ-LOAN-10089,33.0,Dodoma,625686.2105834768,100000,32,1,0.33543841281844067,0
TZ-LOAN-10090,62.0,Dar es Salaam,347465.3802357951,250000,23,0,3.709851877604398,0
TZ-LOAN-10091,35.0,Mbeya,,50000,30,1,11.973061801178558,1
TZ-LOAN-10092,64.0,Dodoma,208388.87809196254,500000,23,2,2.539549688428133,1
TZ-LOAN-10093,41.0,Dar es Salaam,237849.55253040197,100000,30,0,1.0986158504898227,0
TZ-LOAN-10094,43.0,Dar es Salaam,1063540.8882384514,1500000,23,1,0.5217004996015684,0
TZ-LOAN-10095,42.0,Arusha,684747.3761680839,1000000,20,0,9.79809718903827,0
TZ-LOAN-10096,62.0,Dar es Salaam,766881.3572275963,100000,32,1,1.3643366228525424,0
TZ-LOAN-10097,58.0,Mbeya,-16126.302680537803,1500000,30,0,18.45863983612022,0
TZ-LOAN-10098,46.0,Arusha,290610.0712348215,1500000,27,0,1.4239166116382789,1
TZ-LOAN-10099,32.0,Dar es Salaam,916123.9329338861,50000,28,0,3.2791702336179225,0
TZ-LOAN-10100,62.0,Arusha,736032.2337147759,1500000,19,0,3.0623922533114767,0
TZ-LOAN-10101,18.0,Dodoma,605838.4163943208,250000,30,2,0.3200779260833569,0
TZ-LOAN-10102,42.0,Mbeya,819452.7075800367,1500000,31,0,3.7947196093426196,0
TZ-LOAN-10103,24.0,Dodoma,1140739.3418407445,1500000,23,0,5.5834889445902665,0
TZ-LOAN-10104,26.0,Mbeya,583687.2609388848,1000000,23,0,6.7766082953300755,0
TZ-LOAN-10105,41.0,Mwanza,670810.9407974208,250000,29,1,3.6969164866993935,0
TZ-LOAN-10106,18.0,Dodoma,707779.0756193915,100000,20,0,8.37215375369318,0
